Store	Trend	Seasonality	Test	Cluster	Changed	Phase
0058	-0.1821612146	-0.0010107586	FALSE	C	FALSE	Test #2 Weeks
0059	0.0756651480	-0.0060515287	TRUE	C	FALSE	Test #2 Weeks
0060	0.0233982524	0.0022204789	TRUE	B	FALSE	Test #2 Weeks
0061	-0.0409683715	0.0139447128	TRUE	B	FALSE	Test #2 Weeks
0062	-0.1863830604	0.0066974626	FALSE	C	FALSE	Test #2 Weeks
0063	-0.0099313910	-0.0087160892	TRUE	C	FALSE	Test #2 Weeks
0064	-0.1579246138	0.0081861440	FALSE	B	FALSE	Test #2 Weeks
0065	-0.5181882955	0.0042079921	FALSE	C	FALSE	Test #2 Weeks
0066	-0.0544217224	0.0018065255	FALSE	B	FALSE	Test #2 Weeks
0067	0.0393217513	-0.0042864041	FALSE	C	TRUE	Test #2 Weeks
0068	-0.0994010768	0.0036300887	TRUE	C	FALSE	Test #2 Weeks
0069	0.0691818730	-0.0001099883	FALSE	B	FALSE	Test #2 Weeks
0070	0.0154958635	0.0028937041	FALSE	C	FALSE	Test #2 Weeks
0071	-0.1063851903	-0.0044435965	FALSE	C	FALSE	Test #2 Weeks
0072	0.0227995088	-0.0034742926	FALSE	B	TRUE	Test #2 Weeks
0074	0.0504760701	-0.0070454243	TRUE	C	FALSE	Test #2 Weeks
0076	-0.1198270349	-0.0011472366	TRUE	C	FALSE	Test #2 Weeks
0079	0.0502533460	-0.0035904918	FALSE	C	FALSE	Test #2 Weeks
0080	0.0950222625	-0.0037211542	FALSE	B	TRUE	Test #2 Weeks
0082	0.0659725877	-0.0039374349	TRUE	C	FALSE	Test #2 Weeks
0083	0.0507742319	-0.0024319447	FALSE	C	FALSE	Test #2 Weeks
0084	-0.1983913763	0.0021339267	TRUE	B	FALSE	Test #2 Weeks
0085	0.0001520795	0.0066130052	TRUE	B	FALSE	Test #2 Weeks
0088	0.0158019900	0.0033848877	FALSE	C	FALSE	Test #2 Weeks
0090	-0.0802402936	0.0018381697	FALSE	C	FALSE	Test #2 Weeks
0091	-0.0982069371	0.0129164890	TRUE	B	FALSE	Test #2 Weeks
0092	-0.0786883184	-0.0026068385	FALSE	B	TRUE	Test #2 Weeks
0094	-0.0118255071	0.0060238686	FALSE	B	TRUE	Test #2 Weeks
0095	-0.0038831747	0.0008967478	TRUE	B	FALSE	Test #2 Weeks
0096	-0.1741476376	-0.0010695163	FALSE	C	TRUE	Test #2 Weeks
0097	0.0051410116	0.0052172253	FALSE	B	FALSE	Test #2 Weeks
0098	0.0314752613	0.0113735499	TRUE	B	FALSE	Test #2 Weeks
0100	-0.1508016145	0.0025185104	FALSE	C	TRUE	Test #2 Weeks
0102	-0.0368971338	-0.0024091640	FALSE	B	TRUE	Test #2 Weeks
0105	-0.0279836230	0.0056820895	TRUE	B	FALSE	Test #2 Weeks
0107	0.0202347048	-0.0104710325	TRUE	C	FALSE	Test #2 Weeks
0111	-0.2740369950	-0.0028449326	FALSE	C	FALSE	Test #2 Weeks
0113	0.0462721882	-0.0007713574	FALSE	C	TRUE	Test #2 Weeks
0119	0.1100754171	-0.0019506478	FALSE	B	TRUE	Test #2 Weeks
0121	0.1163317128	0.0062839624	FALSE	C	FALSE	Test #2 Weeks
0123	-0.0766115563	0.0066335157	FALSE	B	FALSE	Test #2 Weeks
0125	-0.0031726577	-0.0018547879	TRUE	C	FALSE	Test #2 Weeks
0126	0.1503424767	-0.0050255834	FALSE	B	FALSE	Test #2 Weeks
0128	-0.0134085478	-0.0044430505	FALSE	B	TRUE	Test #2 Weeks
0130	0.0254015478	-0.0034742616	FALSE	C	FALSE	Test #2 Weeks
0131	0.0485926428	0.0362130756	FALSE	C	FALSE	Test #2 Weeks
0133	-0.0253683103	-0.0109192274	TRUE	C	FALSE	Test #2 Weeks
0134	-0.0573678773	0.0090251351	TRUE	B	FALSE	Test #2 Weeks
0135	-0.0378162483	-0.0001984643	FALSE	B	FALSE	Test #2 Weeks
0138	0.0523748248	-0.0002270807	TRUE	B	FALSE	Test #2 Weeks
0140	-0.0514359692	0.0017464379	TRUE	C	FALSE	Test #2 Weeks
0141	-0.0493977152	0.0071918136	FALSE	C	TRUE	Test #2 Weeks
0143	0.1560215861	-0.0023553032	FALSE	C	TRUE	Test #2 Weeks
0147	-0.0594988170	-0.0005156661	TRUE	C	FALSE	Test #2 Weeks
0148	0.0369140093	0.0098974935	FALSE	C	FALSE	Test #2 Weeks
0150	0.0559516762	0.0005191708	FALSE	C	FALSE	Test #2 Weeks
0151	-0.1008035776	0.0009680486	FALSE	C	TRUE	Test #2 Weeks
0152	0.0523086093	-0.0006213114	FALSE	B	FALSE	Test #2 Weeks
0153	0.0009786313	0.0013393907	FALSE	B	FALSE	Test #2 Weeks
0154	0.0109596805	-0.0006913876	TRUE	C	FALSE	Test #2 Weeks
0155	-0.0571954879	0.0006548295	TRUE	B	FALSE	Test #2 Weeks
0156	0.0085844975	-0.0081816296	FALSE	C	FALSE	Test #2 Weeks
0157	0.0969267586	-0.0054839349	FALSE	B	TRUE	Test #2 Weeks
0158	0.0422570069	-0.0026863997	FALSE	B	FALSE	Test #2 Weeks
0159	-0.0268826126	-0.0020034665	TRUE	C	FALSE	Test #2 Weeks
0160	0.0432168216	0.0021404177	FALSE	C	FALSE	Test #2 Weeks
0161	0.0692674931	-0.0031951320	FALSE	C	TRUE	Test #2 Weeks
0162	-0.0658858860	-0.0041019921	FALSE	C	TRUE	Test #2 Weeks
0163	0.0970387417	-0.0092742117	FALSE	B	FALSE	Test #2 Weeks
0164	0.0960070712	-0.0033998586	FALSE	C	FALSE	Test #2 Weeks
0166	0.2038678339	0.0016811872	FALSE	B	FALSE	Test #2 Weeks
0167	0.0521707793	-0.0049685678	FALSE	C	FALSE	Test #2 Weeks
0168	-0.0183995020	0.0016448214	TRUE	B	FALSE	Test #2 Weeks
